sales_person,country,product,date,amount,boxes_shipped
Oby Sorrel,Canada,Eclairs,2023-05-19,6211.75,561
Curtice Advani,Canada,Peanut Butter Cubes,2023-05-19,5646.99,64
Beverie Moffet,New Zealand,Smooth Sliky Salty,2023-05-19,2492.67,58
Oby Sorrel,Usa,Almond Choco,2023-05-19,7107.55,142
Camilla Castle,Usa,Raspberry Choco,2023-05-20,3496.41,18
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2023-05-20,14369.4,15
Kaine Padly,Uk,Caramel Stuffed Bars,2023-05-20,10740.05,67
Barr Faughny,New Zealand,85% Dark Bars,2023-05-23,2151.04,170
Andria Kimpton,Usa,Spicy Special Slims,2023-05-23,2553.46,5
Jan Morforth,India,99% Dark & Pure,2023-05-23,10283.9,178
Marney O'Breen,Usa,Raspberry Choco,2023-05-23,6206.9,149
Mallorie Waber,Usa,Peanut Butter Cubes,2023-05-23,1337.36,18
Karlen Mccaffrey,India,70% Dark Bites,2023-05-23,5083.07,368
Andria Kimpton,Uk,Drinking Coco,2023-05-23,1600.11,70
Curtice Advani,India,Manuka Honey Choco,2023-05-23,1683.88,169
Beverie Moffet,New Zealand,Organic Choco Syrup,2023-05-24,7229.26,215
Gigi Bohling,Usa,Fruit & Nut Bars,2023-05-24,3099.14,115
Van Tuxwell,New Zealand,85% Dark Bars,2023-05-24,1838.78,121
Madelene Upcott,Uk,Choco Coated Almonds,2023-05-24,10400.66,144
Barr Faughny,New Zealand,99% Dark & Pure,2023-05-24,9294.14,201
Beverie Moffet,India,Almond Choco,2023-05-24,3474.98,104
Kelci Walkden,Uk,Choco Coated Almonds,2023-05-24,10355.42,215
Beverie Moffet,Australia,Milk Bars,2023-05-25,793.17,400
Dennison Crosswaite,Usa,Eclairs,2023-05-25,2316.09,90
Jan Morforth,India,85% Dark Bars,2023-05-25,4999.52,446
Brien Boise,Australia,Choco Coated Almonds,2023-05-25,5641.54,61
Roddy Speechley,New Zealand,After Nines,2023-05-25,8766.45,10
Brien Boise,Usa,Mint Chip Choco,2023-05-25,11426.56,151
Brien Boise,Uk,Spicy Special Slims,2023-05-25,2462.14,60
Brien Boise,Usa,Organic Choco Syrup,2023-05-25,17383.08,145
Brien Boise,Uk,Almond Choco,2023-05-25,107.24,129
Camilla Castle,Uk,Mint Chip Choco,2023-05-26,5509.77,307
Kelci Walkden,Canada,Baker'S Choco Chips,2023-05-26,3377.41,325
Barr Faughny,Australia,Raspberry Choco,2023-05-27,9810.95,105
Brien Boise,India,Smooth Sliky Salty,2023-05-27,6345.02,28
Oby Sorrel,India,99% Dark & Pure,2023-05-27,10914.36,11
Mallorie Waber,Uk,Drinking Coco,2023-05-27,3666.04,107
Wilone O'Kielt,Australia,After Nines,2023-05-27,3446.84,28
Marney O'Breen,Usa,After Nines,2023-05-30,5481.18,159
Marney O'Breen,New Zealand,85% Dark Bars,2023-05-30,1368.27,163
Rafaelita Blaksland,Australia,Smooth Sliky Salty,2023-05-30,4207.22,255
Andria Kimpton,India,Orange Choco,2023-05-30,318.19,417
Ches Bonnell,Uk,Manuka Honey Choco,2023-05-30,4854.12,411
Roddy Speechley,India,Caramel Stuffed Bars,2023-05-30,9588.03,562
Kelci Walkden,Australia,Almond Choco,2023-05-30,5509.22,341
Brien Boise,India,Raspberry Choco,2023-05-30,6833.28,157
Dennison Crosswaite,Uk,99% Dark & Pure,2023-05-30,13205.42,26
Karlen Mccaffrey,India,Drinking Coco,2023-05-31,5064.88,251
Roddy Speechley,India,Drinking Coco,2023-05-31,4591.11,11
Oby Sorrel,Uk,Smooth Sliky Salty,2023-05-31,10573.5,338
Van Tuxwell,Usa,Manuka Honey Choco,2023-05-31,2418.93,110
Madelene Upcott,Usa,Almond Choco,2023-05-31,11103.47,24
Mallorie Waber,India,50% Dark Bites,2023-05-31,664.82,147
Beverie Moffet,India,70% Dark Bites,2023-06-01,467.19,159
Van Tuxwell,Canada,70% Dark Bites,2023-06-02,7911.23,74
Wilone O'Kielt,Canada,Smooth Sliky Salty,2023-06-02,5263.45,165
Gigi Bohling,Usa,99% Dark & Pure,2023-06-02,885.68,240
Kelci Walkden,Usa,After Nines,2023-06-02,1021.27,17
Ches Bonnell,Uk,Caramel Stuffed Bars,2023-06-02,3032.3,313
Andria Kimpton,Australia,50% Dark Bites,2023-06-02,5091.78,219
Karlen Mccaffrey,Canada,Fruit & Nut Bars,2023-06-02,213.45,17
Oby Sorrel,New Zealand,Spicy Special Slims,2023-06-03,1793.67,13
Gunar Cockshoot,India,Organic Choco Syrup,2023-06-03,7302.42,153
Van Tuxwell,Uk,Almond Choco,2023-06-06,11258.39,217
Kelci Walkden,India,70% Dark Bites,2023-06-06,3967.25,101
Marney O'Breen,Uk,Orange Choco,2023-06-06,11882.82,13
Wilone O'Kielt,Usa,Choco Coated Almonds,2023-06-06,9950.14,6
Jehu Rudeforth,India,Baker'S Choco Chips,2023-06-06,2261.98,73
Brien Boise,Australia,Fruit & Nut Bars,2023-06-06,8558.59,24
Van Tuxwell,India,Smooth Sliky Salty,2023-06-06,5768.75,37
Brien Boise,New Zealand,Drinking Coco,2023-06-06,1614.17,106
Mallorie Waber,New Zealand,85% Dark Bars,2023-06-06,8167.18,102
Dotty Strutley,Australia,Baker'S Choco Chips,2023-06-07,4022.64,71
Oby Sorrel,Canada,Peanut Butter Cubes,2023-06-07,12397.06,179
Kelci Walkden,Australia,Raspberry Choco,2023-06-07,770.25,61
Andria Kimpton,Uk,Caramel Stuffed Bars,2023-06-07,8234.5,294
Jehu Rudeforth,Usa,White Choc,2023-06-07,6646.33,117
Ches Bonnell,Uk,Choco Coated Almonds,2023-06-07,1933.56,239
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2023-06-07,2236.11,46
Barr Faughny,Canada,Peanut Butter Cubes,2023-06-07,2167.19,85
Madelene Upcott,Usa,Choco Coated Almonds,2023-06-07,6016.32,143
Kelci Walkden,India,Orange Choco,2023-06-07,10587.71,134
Beverie Moffet,New Zealand,Spicy Special Slims,2023-06-07,66.13,65
Kaine Padly,Uk,Smooth Sliky Salty,2023-06-08,9928.1,599
Curtice Advani,Uk,85% Dark Bars,2023-06-08,1131.25,175
Oby Sorrel,India,Spicy Special Slims,2023-06-08,12531.37,86
Beverie Moffet,India,Eclairs,2023-06-09,11130.52,144
Rafaelita Blaksland,Usa,Baker'S Choco Chips,2023-06-09,3136.92,64
Kaine Padly,Australia,Milk Bars,2023-06-09,4499.64,91
Beverie Moffet,New Zealand,Mint Chip Choco,2023-06-09,4560.81,102
Dennison Crosswaite,Australia,Milk Bars,2023-06-09,11389.29,282
Camilla Castle,Usa,Eclairs,2023-06-10,5031.4,401
Mallorie Waber,Canada,Caramel Stuffed Bars,2023-06-10,5194.28,547
Roddy Speechley,India,Eclairs,2023-06-10,4489.81,310
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,2023-06-10,10454.55,434
Ches Bonnell,Usa,Orange Choco,2023-06-10,1835.22,73
Oby Sorrel,New Zealand,White Choc,2023-06-10,4612.08,38
Marney O'Breen,Uk,Baker'S Choco Chips,2023-06-10,254.16,161
Marney O'Breen,Uk,Manuka Honey Choco,2023-06-10,12449.46,177
Kaine Padly,Usa,Spicy Special Slims,2023-06-13,2333.84,171
Camilla Castle,New Zealand,Mint Chip Choco,2023-06-13,1178.0,199
Jan Morforth,Australia,50% Dark Bites,2023-06-14,3925.06,186
Roddy Speechley,Usa,Fruit & Nut Bars,2023-06-14,6082.19,23
Oby Sorrel,Usa,Milk Bars,2023-06-14,1868.25,82
Brien Boise,New Zealand,Manuka Honey Choco,2023-06-14,17222.86,44
Marney O'Breen,Uk,50% Dark Bites,2023-06-14,3288.29,133
Van Tuxwell,New Zealand,Smooth Sliky Salty,2023-06-14,3112.3,41
Wilone O'Kielt,Usa,Drinking Coco,2023-06-14,1065.63,107
Brien Boise,Canada,Raspberry Choco,2023-06-14,2994.76,47
Gigi Bohling,Canada,Fruit & Nut Bars,2023-06-14,6633.23,103
Van Tuxwell,India,Almond Choco,2023-06-14,7247.29,402
Andria Kimpton,New Zealand,Orange Choco,2023-06-14,9295.83,93
Marney O'Breen,New Zealand,Smooth Sliky Salty,2023-06-14,9689.7,58
Dennison Crosswaite,New Zealand,Manuka Honey Choco,2023-06-15,5773.51,325
Gunar Cockshoot,Australia,Fruit & Nut Bars,2023-06-15,6528.42,22
Van Tuxwell,Canada,Drinking Coco,2023-06-15,4919.25,746
Husein Augar,India,Raspberry Choco,2023-06-15,10994.3,152
Brien Boise,New Zealand,70% Dark Bites,2023-06-15,7900.42,143
Wilone O'Kielt,Australia,Fruit & Nut Bars,2023-06-15,413.6,111
Mallorie Waber,Uk,Manuka Honey Choco,2023-06-15,8519.37,45
Dotty Strutley,New Zealand,White Choc,2023-06-15,7923.1,62
Marney O'Breen,Usa,50% Dark Bites,2023-06-15,1114.13,106
Marney O'Breen,Usa,Peanut Butter Cubes,2023-06-15,695.96,363
Jan Morforth,Uk,Orange Choco,2023-06-15,4220.83,193
Kaine Padly,Usa,Milk Bars,2023-06-15,16253.25,58
Brien Boise,New Zealand,White Choc,2023-06-15,5774.92,325
Ches Bonnell,India,Caramel Stuffed Bars,2023-06-15,7224.39,55
Gigi Bohling,Usa,Milk Bars,2023-06-16,516.92,141
Madelene Upcott,Australia,85% Dark Bars,2023-06-16,1758.62,329
Brien Boise,India,After Nines,2023-06-16,5744.07,49
Oby Sorrel,Canada,Raspberry Choco,2023-06-16,1902.47,217
Kelci Walkden,India,Raspberry Choco,2023-06-16,8216.56,257
Curtice Advani,Canada,Spicy Special Slims,2023-06-16,933.45,122
Camilla Castle,New Zealand,Caramel Stuffed Bars,2023-06-17,4400.28,364
Andria Kimpton,New Zealand,Peanut Butter Cubes,2023-06-20,970.96,291
Kelci Walkden,Canada,Fruit & Nut Bars,2023-06-20,840.71,162
Van Tuxwell,Australia,Milk Bars,2023-06-20,8895.7,91
Curtice Advani,India,Spicy Special Slims,2023-06-20,167.33,143
Kaine Padly,Australia,Fruit & Nut Bars,2023-06-20,7684.52,83
Rafaelita Blaksland,Usa,Drinking Coco,2023-06-20,9170.09,79
Dotty Strutley,Uk,70% Dark Bites,2023-06-20,1264.43,232
Beverie Moffet,Australia,Eclairs,2023-06-20,1835.42,6
Van Tuxwell,India,Baker'S Choco Chips,2023-06-20,3133.42,479
Oby Sorrel,Australia,Milk Bars,2023-06-21,8497.72,276
Gigi Bohling,India,Eclairs,2023-06-21,3687.44,73
Gigi Bohling,Uk,70% Dark Bites,2023-06-21,949.18,83
Jan Morforth,Uk,White Choc,2023-06-22,10087.04,46
Kaine Padly,Usa,85% Dark Bars,2023-06-22,538.03,271
Roddy Speechley,India,After Nines,2023-06-22,2690.14,117
Gigi Bohling,Uk,85% Dark Bars,2023-06-23,12764.94,100
Dennison Crosswaite,India,99% Dark & Pure,2023-06-23,7369.69,325
Jehu Rudeforth,Canada,Orange Choco,2023-06-23,4229.79,548
Kelci Walkden,New Zealand,Baker'S Choco Chips,2023-06-23,2964.2,105
Barr Faughny,New Zealand,50% Dark Bites,2023-06-23,4909.86,304
Kelci Walkden,Uk,85% Dark Bars,2023-06-23,4188.43,235
Gunar Cockshoot,Canada,Raspberry Choco,2023-06-23,2375.74,129
Camilla Castle,Usa,50% Dark Bites,2023-06-23,6215.72,324
Ches Bonnell,New Zealand,After Nines,2023-06-23,5813.44,356
Beverie Moffet,India,Organic Choco Syrup,2023-06-23,1093.72,22
Marney O'Breen,Australia,Spicy Special Slims,2023-06-23,14193.67,302
Oby Sorrel,Canada,50% Dark Bites,2023-06-24,7164.51,140
Roddy Speechley,Australia,Almond Choco,2023-06-24,5032.45,79
Kaine Padly,Canada,99% Dark & Pure,2023-06-24,1332.76,409
Karlen Mccaffrey,Canada,70% Dark Bites,2023-06-24,8376.69,646
Jehu Rudeforth,Australia,Peanut Butter Cubes,2023-06-24,6047.05,40
Karlen Mccaffrey,Australia,70% Dark Bites,2023-06-24,237.57,311
Van Tuxwell,Canada,Peanut Butter Cubes,2023-06-24,7147.04,300
Curtice Advani,Uk,Fruit & Nut Bars,2023-06-24,11688.75,136
Brien Boise,Australia,Eclairs,2023-06-27,7484.07,94
Van Tuxwell,New Zealand,Mint Chip Choco,2023-06-27,4351.31,103
Jan Morforth,Usa,Fruit & Nut Bars,2023-06-27,4891.86,380
Roddy Speechley,India,Orange Choco,2023-06-27,4154.44,18
Jehu Rudeforth,Uk,After Nines,2023-06-27,2047.77,169
Van Tuxwell,Canada,Almond Choco,2023-06-27,3424.66,70
Gunar Cockshoot,Uk,Manuka Honey Choco,2023-06-27,7304.74,49
Karlen Mccaffrey,India,Orange Choco,2023-06-27,3172.08,153
Beverie Moffet,Australia,White Choc,2023-06-27,2379.01,178
Oby Sorrel,Uk,White Choc,2023-06-27,1746.01,280
Beverie Moffet,Usa,70% Dark Bites,2023-06-27,2341.8,117
Van Tuxwell,India,After Nines,2023-06-27,15021.98,211
Ches Bonnell,Uk,85% Dark Bars,2023-06-28,15944.86,11
Curtice Advani,Australia,Organic Choco Syrup,2023-06-28,4008.93,301
Andria Kimpton,Australia,Drinking Coco,2023-06-28,1657.2,49
Husein Augar,Australia,Orange Choco,2023-06-28,9332.76,196
Kelci Walkden,India,99% Dark & Pure,2023-06-28,2455.13,236
Karlen Mccaffrey,New Zealand,85% Dark Bars,2023-06-28,6312.53,60
Gunar Cockshoot,New Zealand,Spicy Special Slims,2023-06-28,7265.05,194
Brien Boise,Uk,Manuka Honey Choco,2023-06-28,80.62,103
Gigi Bohling,New Zealand,Manuka Honey Choco,2023-06-28,8495.79,268
Jan Morforth,Usa,Orange Choco,2023-06-29,1048.26,149
Kaine Padly,Uk,Orange Choco,2023-06-29,2099.24,186
Karlen Mccaffrey,Usa,Drinking Coco,2023-06-29,114.82,231
Kelci Walkden,Uk,Fruit & Nut Bars,2023-06-29,14592.11,509
Rafaelita Blaksland,Uk,99% Dark & Pure,2023-06-29,12643.1,150
Gigi Bohling,New Zealand,50% Dark Bites,2023-06-29,5929.2,65
Mallorie Waber,Australia,Spicy Special Slims,2023-06-29,6054.04,287
Jehu Rudeforth,Uk,White Choc,2023-06-29,1889.83,286
Van Tuxwell,Uk,Eclairs,2023-06-29,5856.52,115
Curtice Advani,Australia,50% Dark Bites,2023-06-29,547.85,221
Mallorie Waber,Uk,Mint Chip Choco,2023-06-29,6540.3,2
Oby Sorrel,Uk,Organic Choco Syrup,2023-06-30,8839.72,170
Oby Sorrel,Australia,85% Dark Bars,2023-06-30,7956.28,27
Dennison Crosswaite,Usa,Almond Choco,2023-06-30,11884.52,82
Karlen Mccaffrey,Uk,Almond Choco,2023-06-30,7698.6,126
Beverie Moffet,Uk,White Choc,2023-06-30,6901.22,80
Gigi Bohling,Uk,Drinking Coco,2023-06-30,6157.17,43
Dennison Crosswaite,India,85% Dark Bars,2023-06-30,4562.97,21
Andria Kimpton,Usa,Raspberry Choco,2023-06-30,15565.91,21
Husein Augar,India,Orange Choco,2023-06-30,4517.19,40
Jan Morforth,New Zealand,Mint Chip Choco,2023-06-30,20402.17,297
Gunar Cockshoot,Uk,Choco Coated Almonds,2023-06-30,6635.15,141
Ches Bonnell,New Zealand,Caramel Stuffed Bars,2023-06-30,8184.37,43
Gunar Cockshoot,Usa,85% Dark Bars,2023-06-30,7586.38,131
Barr Faughny,Canada,Orange Choco,2023-06-30,8650.42,19
Barr Faughny,Australia,Fruit & Nut Bars,2023-06-30,17280.98,58
Kelci Walkden,Australia,99% Dark & Pure,2023-06-30,3272.68,32
Mallorie Waber,New Zealand,Organic Choco Syrup,2023-07-01,5098.29,276
Gunar Cockshoot,Canada,Mint Chip Choco,2023-07-01,8829.77,445
Kaine Padly,New Zealand,Spicy Special Slims,2023-07-01,8106.88,40
Kaine Padly,Canada,Peanut Butter Cubes,2023-07-04,3438.7,191
Barr Faughny,Australia,White Choc,2023-07-04,8927.63,386
Beverie Moffet,India,White Choc,2023-07-04,1994.44,299
Camilla Castle,India,50% Dark Bites,2023-07-04,10539.54,398
Gigi Bohling,Canada,Spicy Special Slims,2023-07-04,13173.56,301
Husein Augar,Australia,Eclairs,2023-07-04,7299.4,34
Karlen Mccaffrey,India,Manuka Honey Choco,2023-07-04,2487.19,583
Brien Boise,Australia,99% Dark & Pure,2023-07-04,3166.56,98
Curtice Advani,India,White Choc,2023-07-04,7887.15,335
Kelci Walkden,India,Drinking Coco,2023-07-04,8105.37,255
Roddy Speechley,Australia,Organic Choco Syrup,2023-07-04,4111.42,81
Mallorie Waber,Usa,Manuka Honey Choco,2023-07-04,6136.99,94
Jan Morforth,India,Caramel Stuffed Bars,2023-07-04,88.72,165
Jan Morforth,Australia,Orange Choco,2023-07-04,3364.44,126
Dennison Crosswaite,New Zealand,White Choc,2023-07-05,10604.89,165
Oby Sorrel,India,85% Dark Bars,2023-07-05,9072.46,142
Dotty Strutley,Australia,White Choc,2023-07-05,6067.94,94
Husein Augar,Uk,After Nines,2023-07-05,3563.87,372
Madelene Upcott,Canada,Peanut Butter Cubes,2023-07-05,15276.46,121
Beverie Moffet,Canada,Drinking Coco,2023-07-05,1093.46,115
Van Tuxwell,Usa,Fruit & Nut Bars,2023-07-05,6871.55,238
Barr Faughny,Uk,White Choc,2023-07-05,1837.47,77
Ches Bonnell,Australia,Eclairs,2023-07-05,4248.34,130
Madelene Upcott,Australia,Organic Choco Syrup,2023-07-05,11542.54,49
Oby Sorrel,Canada,Organic Choco Syrup,2023-07-05,1310.04,71
Curtice Advani,India,70% Dark Bites,2023-07-05,2393.79,48
Jehu Rudeforth,India,50% Dark Bites,2023-07-05,3470.6,129
Jan Morforth,Uk,Almond Choco,2023-07-06,10668.69,150
Ches Bonnell,India,Spicy Special Slims,2023-07-06,11010.43,103
Karlen Mccaffrey,India,Almond Choco,2023-07-06,6188.62,157
Gigi Bohling,Canada,Drinking Coco,2023-07-06,3934.09,86
Jehu Rudeforth,Uk,85% Dark Bars,2023-07-07,5534.11,63
Dennison Crosswaite,India,Smooth Sliky Salty,2023-07-07,3343.85,10
Kelci Walkden,Canada,Milk Bars,2023-07-07,17680.19,27
Curtice Advani,India,Fruit & Nut Bars,2023-07-07,5806.11,190
Jehu Rudeforth,Usa,Smooth Sliky Salty,2023-07-07,7170.21,151
Rafaelita Blaksland,New Zealand,After Nines,2023-07-07,1127.5,88
Oby Sorrel,New Zealand,Smooth Sliky Salty,2023-07-07,9545.03,64
Husein Augar,Usa,Eclairs,2023-07-07,4168.93,122
Gigi Bohling,India,Peanut Butter Cubes,2023-07-07,4666.18,100
Barr Faughny,Uk,Mint Chip Choco,2023-07-07,4129.98,332
Kelci Walkden,New Zealand,After Nines,2023-07-07,147.82,74
Wilone O'Kielt,Australia,Organic Choco Syrup,2023-07-07,1896.24,115
Curtice Advani,Canada,99% Dark & Pure,2023-07-07,13232.74,7
Madelene Upcott,India,Raspberry Choco,2023-07-07,4409.21,10
Brien Boise,Usa,Milk Bars,2023-07-07,14460.51,124
Oby Sorrel,India,Organic Choco Syrup,2023-07-08,6665.87,60
Gigi Bohling,Australia,Caramel Stuffed Bars,2023-07-08,8724.4,147
Karlen Mccaffrey,Australia,Almond Choco,2023-07-08,7936.84,138
Roddy Speechley,Australia,85% Dark Bars,2023-07-08,4444.72,77
Marney O'Breen,New Zealand,Organic Choco Syrup,2023-07-08,9489.27,54
Andria Kimpton,Canada,Smooth Sliky Salty,2023-07-08,1187.71,75
Wilone O'Kielt,New Zealand,Manuka Honey Choco,2023-07-11,4173.4,254
Ches Bonnell,Uk,Smooth Sliky Salty,2023-07-11,5828.22,121
Jehu Rudeforth,Canada,Smooth Sliky Salty,2023-07-11,5631.26,142
Van Tuxwell,New Zealand,50% Dark Bites,2023-07-11,4162.28,11
Marney O'Breen,India,After Nines,2023-07-11,2800.67,190
Brien Boise,New Zealand,Eclairs,2023-07-11,4981.78,299
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,2023-07-11,6924.52,94
Oby Sorrel,Uk,Milk Bars,2023-07-11,6853.82,220
Dennison Crosswaite,Usa,Caramel Stuffed Bars,2023-07-11,2583.03,501
Mallorie Waber,Canada,Choco Coated Almonds,2023-07-11,5345.58,250
Curtice Advani,Usa,Spicy Special Slims,2023-07-11,1788.1,271
Van Tuxwell,Uk,85% Dark Bars,2023-07-11,4029.28,128
Gigi Bohling,Canada,White Choc,2023-07-11,6985.95,4
Curtice Advani,Uk,Drinking Coco,2023-07-12,460.98,182
Brien Boise,New Zealand,Baker'S Choco Chips,2023-07-12,6297.06,26
Curtice Advani,Australia,Orange Choco,2023-07-12,909.93,132
Rafaelita Blaksland,Canada,Drinking Coco,2023-07-12,10415.77,200
Wilone O'Kielt,Uk,Organic Choco Syrup,2023-07-12,4964.25,56
Roddy Speechley,Canada,Milk Bars,2023-07-13,679.94,34
Van Tuxwell,Australia,50% Dark Bites,2023-07-13,726.04,131
Dotty Strutley,Usa,Fruit & Nut Bars,2023-07-13,3169.26,281
Husein Augar,Usa,White Choc,2023-07-13,2066.48,59
Dennison Crosswaite,Australia,Drinking Coco,2023-07-13,7722.58,188
Jan Morforth,Canada,After Nines,2023-07-13,4881.32,183
Curtice Advani,Australia,Almond Choco,2023-07-13,3019.09,78
Madelene Upcott,Australia,Raspberry Choco,2023-07-13,7033.52,94
Dotty Strutley,Uk,Mint Chip Choco,2023-07-14,2763.22,223
Jehu Rudeforth,Canada,Drinking Coco,2023-07-15,466.65,23
Beverie Moffet,India,Drinking Coco,2023-07-15,6984.74,51
Karlen Mccaffrey,Canada,50% Dark Bites,2023-07-15,2966.83,65
Beverie Moffet,Canada,White Choc,2023-07-15,9957.2,185
Wilone O'Kielt,Usa,Milk Bars,2023-07-15,5332.79,101
Brien Boise,Australia,Organic Choco Syrup,2023-07-15,4479.69,261
Karlen Mccaffrey,Canada,Organic Choco Syrup,2023-07-15,2466.59,309
Camilla Castle,India,Peanut Butter Cubes,2023-07-15,12507.08,284
Karlen Mccaffrey,India,Mint Chip Choco,2023-07-15,11380.7,192
Andria Kimpton,Usa,Fruit & Nut Bars,2023-07-15,1588.28,352
Ches Bonnell,New Zealand,Organic Choco Syrup,2023-07-15,8047.16,86
Dennison Crosswaite,Usa,Organic Choco Syrup,2023-07-18,14528.51,134
Gigi Bohling,Uk,50% Dark Bites,2023-07-18,8385.38,73
Oby Sorrel,Uk,After Nines,2023-07-18,2587.76,108
Barr Faughny,Canada,50% Dark Bites,2023-07-19,10275.55,301
Marney O'Breen,India,85% Dark Bars,2023-07-19,2439.06,175
Camilla Castle,Uk,Peanut Butter Cubes,2023-07-19,5231.88,125
Marney O'Breen,Uk,Caramel Stuffed Bars,2023-07-19,3651.49,112
Dotty Strutley,Australia,Drinking Coco,2023-07-19,94.19,145
Madelene Upcott,Canada,Choco Coated Almonds,2023-07-20,3451.24,283
Kaine Padly,Usa,Caramel Stuffed Bars,2023-07-21,6318.7,124
Van Tuxwell,India,Eclairs,2023-07-21,11861.89,105
Ches Bonnell,Usa,Milk Bars,2023-07-21,2444.25,155
Oby Sorrel,India,Drinking Coco,2023-07-21,18220.59,139
Madelene Upcott,Uk,Organic Choco Syrup,2023-07-21,7805.9,179
Camilla Castle,New Zealand,Peanut Butter Cubes,2023-07-21,1724.91,60
Andria Kimpton,Canada,Manuka Honey Choco,2023-07-21,5031.94,495
Kelci Walkden,Usa,Organic Choco Syrup,2023-07-21,10630.08,155
Jan Morforth,Usa,Peanut Butter Cubes,2023-07-22,9605.11,98
Roddy Speechley,Usa,Manuka Honey Choco,2023-07-22,10959.02,302
Marney O'Breen,India,99% Dark & Pure,2023-07-22,11252.11,159
Gigi Bohling,Usa,Smooth Sliky Salty,2023-07-22,2972.07,129
Madelene Upcott,Australia,50% Dark Bites,2023-07-25,7473.14,6
Oby Sorrel,Usa,Manuka Honey Choco,2023-07-25,4742.35,83
Jan Morforth,Canada,Fruit & Nut Bars,2023-07-25,9984.16,207
Andria Kimpton,Uk,99% Dark & Pure,2023-07-25,1288.1,67
Van Tuxwell,Uk,Milk Bars,2023-07-25,4902.78,91
Brien Boise,Usa,99% Dark & Pure,2023-07-25,7323.82,339
Mallorie Waber,India,White Choc,2023-07-26,872.83,224
Van Tuxwell,Usa,After Nines,2023-07-26,722.25,255
Kelci Walkden,Usa,Drinking Coco,2023-07-26,7013.61,170
Ches Bonnell,Canada,Organic Choco Syrup,2023-07-26,593.63,229
Brien Boise,Australia,Drinking Coco,2023-07-27,7262.12,158
Brien Boise,Australia,Milk Bars,2023-07-27,2117.82,56
Camilla Castle,Canada,70% Dark Bites,2023-07-27,10095.71,151
Marney O'Breen,Australia,Choco Coated Almonds,2023-07-27,12624.64,41
Jan Morforth,Australia,White Choc,2023-07-27,3958.57,33
Rafaelita Blaksland,Usa,Smooth Sliky Salty,2023-07-27,15844.58,232
Gigi Bohling,Australia,Drinking Coco,2023-07-27,2949.02,153
Rafaelita Blaksland,India,Almond Choco,2023-07-27,3791.66,100
Van Tuxwell,Usa,99% Dark & Pure,2023-07-28,12930.11,6
Dotty Strutley,Uk,Almond Choco,2023-07-28,16707.88,102
Gunar Cockshoot,Canada,Almond Choco,2023-07-28,1308.52,30
Beverie Moffet,Usa,50% Dark Bites,2023-07-28,2620.19,340
Karlen Mccaffrey,New Zealand,Drinking Coco,2023-07-28,171.49,163
Gunar Cockshoot,India,Caramel Stuffed Bars,2023-07-28,2706.83,198
Jehu Rudeforth,Usa,Orange Choco,2023-07-28,391.33,184
Dotty Strutley,India,Eclairs,2023-07-28,2345.95,406
Marney O'Breen,Australia,Milk Bars,2023-07-28,2673.47,375
Ches Bonnell,Usa,Organic Choco Syrup,2023-07-28,7874.15,13
Kelci Walkden,India,Mint Chip Choco,2023-07-28,3012.68,129
Jan Morforth,New Zealand,Manuka Honey Choco,2023-07-28,1815.56,266
Dennison Crosswaite,India,Fruit & Nut Bars,2023-07-29,1071.31,23
Barr Faughny,India,After Nines,2023-07-29,9021.65,104
Barr Faughny,Australia,Caramel Stuffed Bars,2023-07-29,2931.1,60
Barr Faughny,New Zealand,Raspberry Choco,2023-07-29,7358.7,68
Mallorie Waber,Australia,Milk Bars,2023-07-29,2829.57,106
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2023-08-01,13998.33,60
Mallorie Waber,Australia,Almond Choco,2023-08-01,8522.8,137
Kelci Walkden,Uk,Orange Choco,2023-08-01,3911.85,3
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,2023-08-01,8145.99,100
Van Tuxwell,India,85% Dark Bars,2023-08-01,8074.39,100
Brien Boise,New Zealand,Mint Chip Choco,2023-08-01,66.35,197
Dotty Strutley,Australia,Mint Chip Choco,2023-08-01,7091.81,27
Dennison Crosswaite,Canada,85% Dark Bars,2023-08-01,11334.77,89
Madelene Upcott,Australia,99% Dark & Pure,2023-08-01,4822.5,159
Curtice Advani,Canada,Smooth Sliky Salty,2023-08-01,3047.18,12
Jan Morforth,India,Baker'S Choco Chips,2023-08-01,14613.52,85
Oby Sorrel,Canada,99% Dark & Pure,2023-08-01,4033.53,430
Jan Morforth,Uk,Caramel Stuffed Bars,2023-08-02,3175.62,507
Camilla Castle,India,99% Dark & Pure,2023-08-02,207.87,216
Karlen Mccaffrey,Canada,Spicy Special Slims,2023-08-02,6315.53,51
Kaine Padly,Australia,50% Dark Bites,2023-08-02,9163.79,81
Wilone O'Kielt,New Zealand,85% Dark Bars,2023-08-02,2084.86,119
Karlen Mccaffrey,New Zealand,70% Dark Bites,2023-08-02,141.23,38
Jan Morforth,Canada,Caramel Stuffed Bars,2023-08-02,10802.13,124
Rafaelita Blaksland,Uk,Spicy Special Slims,2023-08-03,9896.8,143
Wilone O'Kielt,Australia,50% Dark Bites,2023-08-03,10336.22,123
